site,n_total,n_asd,prev_per_1k,strata,data_source,l95_per_1k,u95_per_1k,year_survey,year_pub,birth_cohort,table,for_line
Alabama,9028,NA,6.8,black,ho,5.3,8.7,2006,2010,1998,2.1,1
Arizona,2244,NA,12.9,black,eh,9,18.6,2006,2010,1998,2.1,1
Colorado,963,NA,12.5,black,eh,7.1,21.9,2006,2010,1998,2.1,0
Florida,6267,NA,1.6,black,ho,0.9,3,2006,2010,1998,2.1,1
Georgia,19877,NA,9.5,black,eh,8.2,10.9,2006,2010,1998,2.1,1
Maryland,5601,NA,7.9,black,eh,5.9,10.6,2006,2010,1998,2.1,1
Missouri,6702,NA,5.1,black,ho,3.6,7.1,2006,2010,1998,2.1,1
North Carolina,6160,NA,7.5,black,eh,5.6,10,2006,2010,1998,2.1,1
Pennsylvania,8969,NA,7.5,black,ho,5.9,9.5,2006,2010,1998,2.1,1
South Carolina,9061,NA,7.3,black,eh,5.7,9.3,2006,2010,1998,2.1,1
Total,NA,NA,NA,black,NA,NA,NA,2006,2010,1998,2.1,1
Wisconsin,6157,NA,3.6,black,ho,2.4,5.4,2006,2010,1998,2.1,1
Alabama,NA,NA,2.9,female,ho,2.2,3.8,2006,2010,1998,2,1
Arizona,NA,NA,4.9,female,eh,4,5.9,2006,2010,1998,2,1
Colorado,NA,NA,3.4,female,eh,1.9,6,2006,2010,1998,2,0
Florida,NA,NA,1,female,ho,0.6,1.7,2006,2010,1998,2,1
Georgia,NA,NA,3.4,female,eh,2.7,4.2,2006,2010,1998,2,1
Maryland,NA,NA,2.4,female,eh,1.7,3.4,2006,2010,1998,2,1
Missouri,NA,NA,4.7,female,ho,3.7,6.1,2006,2010,1998,2,1
North Carolina,NA,NA,3.4,female,eh,2.5,4.7,2006,2010,1998,2,1
Pennsylvania,NA,NA,3.3,female,ho,2.3,4.8,2006,2010,1998,2,1
South Carolina,NA,NA,2.6,female,eh,1.8,3.7,2006,2010,1998,2,1
Total,NA,NA,NA,female,NA,NA,NA,2006,2010,1998,2,1
Wisconsin,NA,NA,2.3,female,ho,1.6,3.1,2006,2010,1998,2,1
Alabama,1607,NA,0.6,hispanic,ho,0.1,4.4,2006,2010,1998,2.1,1
Arizona,17577,NA,8.3,hispanic,eh,7,9.7,2006,2010,1998,2.1,1
Colorado,1761,NA,4.5,hispanic,eh,2.3,9.1,2006,2010,1998,2.1,0
Florida,14443,NA,5.2,hispanic,ho,4.1,6.5,2006,2010,1998,2.1,1
Georgia,6015,NA,4.8,hispanic,eh,3.4,6.9,2006,2010,1998,2.1,1
Maryland,1109,NA,6.3,hispanic,eh,3,13.2,2006,2010,1998,2.1,1
Missouri,777,NA,2.6,hispanic,ho,0.6,10.3,2006,2010,1998,2.1,1
North Carolina,2618,NA,6.1,hispanic,eh,3.7,10,2006,2010,1998,2.1,1
Pennsylvania,2852,NA,7.7,hispanic,ho,5.1,11.7,2006,2010,1998,2.1,1
South Carolina,1053,NA,4.8,hispanic,eh,2,11.4,2006,2010,1998,2.1,1
Total,NA,NA,NA,hispanic,NA,NA,NA,2006,2010,1998,2.1,1
Wisconsin,4153,NA,1.7,hispanic,ho,0.8,3.5,2006,2010,1998,2.1,1
Alabama,NA,NA,9.1,male,ho,7.8,10.6,2006,2010,1998,2,1
Arizona,NA,NA,18.9,male,eh,17.1,20.8,2006,2010,1998,2,1
Colorado,NA,NA,11.5,male,eh,8.5,15.6,2006,2010,1998,2,0
Florida,NA,NA,7.3,male,ho,6,8.9,2006,2010,1998,2,1
Georgia,NA,NA,16.6,male,eh,15.1,18.3,2006,2010,1998,2,1
Maryland,NA,NA,15.6,male,eh,13.7,17.9,2006,2010,1998,2,1
Missouri,NA,NA,19.3,male,ho,17,21.7,2006,2010,1998,2,1
North Carolina,NA,NA,17,male,eh,14.7,19.5,2006,2010,1998,2,1
Pennsylvania,NA,NA,13.3,male,ho,11.1,15.8,2006,2010,1998,2,1
South Carolina,NA,NA,14.3,male,eh,12.3,16.6,2006,2010,1998,2,1
Total,NA,NA,NA,male,NA,NA,NA,2006,2010,1998,2,1
Wisconsin,NA,NA,12.7,male,ho,11.1,14.5,2006,2010,1998,2,1
Alabama,35126,212,6,overall,ho,5.3,6.9,2006,2010,1998,2,1
Arizona,41650,504,12.1,overall,eh,11.1,13.2,2006,2010,1998,2,1
Colorado,7184,54,7.5,overall,eh,5.7,9.8,2006,2010,1998,2,0
Florida,27615,116,4.2,overall,ho,3.5,5,2006,2010,1998,2,1
Georgia,46621,474,10.2,overall,eh,9.3,11.1,2006,2010,1998,2,1
Maryland,26489,243,9.2,overall,eh,8.1,10.4,2006,2010,1998,2,1
Missouri,26533,321,12.1,overall,ho,10.8,13.5,2006,2010,1998,2,1
North Carolina,22195,230,10.4,overall,eh,9.1,11.8,2006,2010,1998,2,1
Pennsylvania,17886,150,8.4,overall,ho,7.2,9.8,2006,2010,1998,2,1
South Carolina,22681,196,8.6,overall,eh,7.5,9.9,2006,2010,1998,2,1
Total,307790,2757,9,overall,NA,8.6,9.3,2006,2010,1998,2,1
Wisconsin,34058,257,7.6,overall,ho,6.7,8.5,2006,2010,1998,2,1
Alabama,23967,NA,5.8,white,ho,5,6.9,2006,2010,1998,2.1,1
Arizona,19664,NA,14.8,white,eh,13.1,16.6,2006,2010,1998,2.1,1
Colorado,4009,NA,6.7,white,eh,4.6,9.8,2006,2010,1998,2.1,0
Florida,6422,NA,3.4,white,ho,2.3,5.2,2006,2010,1998,2.1,1
Georgia,17871,NA,12,white,eh,10.5,13.8,2006,2010,1998,2.1,1
Maryland,18464,NA,9.3,white,eh,8,10.8,2006,2010,1998,2.1,1
Missouri,18199,NA,13.7,white,ho,12.1,15.5,2006,2010,1998,2.1,1
North Carolina,12727,NA,12.2,white,eh,10.4,14.3,2006,2010,1998,2.1,1
Pennsylvania,5048,NA,10.1,white,ho,7.7,13.3,2006,2010,1998,2.1,1
South Carolina,12153,NA,7.1,white,eh,5.7,8.7,2006,2010,1998,2.1,1
Total,NA,NA,NA,white,NA,NA,NA,2006,2010,1998,2.1,1
Wisconsin,22361,NA,8.5,white,ho,7.4,9.8,2006,2010,1998,2.1,1
Alabama,9295,NA,4,black,ho,2.9,5.5,2008,2012,2000,2.1,1
Arizona,1804,NA,16.1,black,eh,11.2,23.1,2008,2012,2000,2.1,1
Arkansas,2112,NA,7.1,black,eh,4.3,11.8,2008,2012,2000,2.1,1
Colorado,1051,NA,10.5,black,eh,5.8,18.9,2008,2012,2000,2.1,0
Colorado,1390,NA,6.5,black,ho,3.4,12.4,2008,2012,2000,2.1,1
Florida,6328,NA,3,black,ho,1.9,4.7,2008,2012,2000,2.1,1
Georgia,20690,NA,11.9,black,eh,10.5,13.5,2008,2012,2000,2.1,1
Maryland,5796,NA,11.7,black,eh,9.3,14.9,2008,2012,2000,2.1,1
Missouri,6153,NA,9.3,black,ho,7.1,12,2008,2012,2000,2.1,1
New Jersey,1601,NA,20.6,black,eh,14.7,29,2008,2012,2000,2.1,1
North Carolina,9414,NA,15.4,black,eh,13.1,18.1,2008,2012,2000,2.1,1
Pennsylvania,9060,NA,12.7,black,ho,10.6,15.2,2008,2012,2000,2.1,1
South Carolina,9566,NA,9.9,black,eh,8.1,12.1,2008,2012,2000,2.1,1
